DATA,"ALT_CARREC","CARREC","TEMA","GRUP_INTERES","ESTAT_REGISTRE","NUMERO_REGISTRE","LLOC","TIPUS_ACTIVITAT","ACTIVITAT",PARTICIPANTS,HORES_ALT_CARREC,"CODI_ENS","NOM_ENS"
"2022/04/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Declaració Per a uns municipis i comunitats cuidadores i Jornades Cures en la comunitat: innovació i transformació des de les polítiques locals",,,,"Paranimf de l'Escola Industrial de Barcelona","Activitat institucional","Acte","2","1.00","818460009","Ajuntament de Rubí"
"2022/04/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte de presentació memòries de Juan Martínez (veí de Rubí, lluitador antifranquista i antifeixista)",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Acte","5","1.50","818460009","Ajuntament de Rubí"
"2022/04/29","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Ballada escoles Dia Internacional de la Dansa",,,,"RAMBLA FERROCARRIL","Activitat institucional","Acte","7","2.00","818460009","Ajuntament de Rubí"
"2022/04/30","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Els Tres tombs 2022 (plantada de bandera)",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","3","1.00","818460009","Ajuntament de Rubí"
"2022/04/30","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Els tres tombs 2022 - Recepció institucional dels abanderats",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","13","2.00","818460009","Ajuntament de Rubí"
"2022/05/04","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Lliurament de premis del 19è concurs de Poesia i Narrativa - Associació de la Gent Gran de Rubí i El seu Entorn",,,,"CASAL GENT GRAN","Activitat institucional","Acte","3","1.00","818460009","Ajuntament de Rubí"
"2022/05/08","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Caramelles - Recepció i cantada a l'Ajuntament - CORAL RUBINENCA",,,,"CASA CONSISTORIAL [AD-01]","Activitat institucional","Acte","5","1.50","818460009","Ajuntament de Rubí"
"2022/05/10","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","BARAKALDO - Recepción en el ayuntamiento",,,,"ALTRES - BARAKALDO","Activitat institucional","Acte","5","1.00","818460009","Ajuntament de Rubí"
"2022/05/10","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentación del Pla de Movilidad Urbana Sostenible",,,,"ALTRES - AVILÉS","Activitat institucional","Reunió","5","1.00","818460009","Ajuntament de Rubí"
"2022/05/10","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Recepción en el Ayuntamiento de Avilés",,,,"ALTRES - AVILÉS","Activitat institucional","Acte","5","1.00","818460009","Ajuntament de Rubí"
"2022/05/11","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentación de la 1a Transformación de Barakaldo",,,,"ALTRES - BARAKALDO","Activitat institucional","Reunió","5","1.00","818460009","Ajuntament de Rubí"
"2022/05/11","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Presentación de la 2a y actual transformación Barakaldo",,,,"ALTRES - BARAKALDO","Activitat institucional","Reunió","5","1.00","818460009","Ajuntament de Rubí"
"2022/05/14","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","FIRA DE LA CERVESA - Inauguració Fira de la Cervesa",,,,"RAMBLA FERROCARRIL","Activitat institucional","Acte","10","2.00","818460009","Ajuntament de Rubí"
"2022/05/17","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Visita escoles - Coneix l'Ajuntament",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","2","2.00","818460009","Ajuntament de Rubí"
"2022/05/18","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de portaveus",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","8","2.00","818460009","Ajuntament de Rubí"
"2022/05/18","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte de reconeixement a les persones que han obtingut el certificat d'acollid",,,,"ATENEU MUNICIPAL","Activitat institucional","Acte","6","1.75","818460009","Ajuntament de Rubí"
"2022/05/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Recepció Visita de la delegació de Marroc a Rubí, programa EqualMED",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","4","0.50","818460009","Ajuntament de Rubí"
"2022/05/21","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Recepció institucional de la Irmandade Galega de Rubí amb motiu de la 41a Festa do pulpo",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","11","1.00","818460009","Ajuntament de Rubí"
"2022/05/25","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reunió Associació de comerciants",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","3","1.00","818460009","Ajuntament de Rubí"
"2022/06/09","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte commemoratiu dels 3 anys de mandat a Rubí  2019-2023",,,,"EL CELLER [C-04]","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/06/10","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Acte del 10è aniversari Institut El Alous",,,,"INSTITUT TORRENT DELS ALOUS [D-18]","Activitat institucional","Acte","5","1.00","818460009","Ajuntament de Rubí"
"2022/06/13","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Sopar 1r tast final dels vins joves de Vinari a Rubí 2022",,,,"EL CELLER [C-04]","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/06/15","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Junta de portaveus",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","8","2.00","818460009","Ajuntament de Rubí"
"2022/06/16","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Escola Pau Casals: Història del cinema, els inicis (una creació fílmica dels infants de 6è)-Trucatges (curmetratges dels infants de 5è)",,,,"TEATRE LA SALA","Activitat institucional","Acte","4","2.00","818460009","Ajuntament de Rubí"
"2022/06/16","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Plenari Consell d'Infants i adolescents",,,,"MUSEU MUNICIPAL CASTELL","Activitat institucional","Reunió","2","1.50","818460009","Ajuntament de Rubí"
"2022/06/17","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Reunió amb direcció Escola Balmes",,,,"CASA CONSISTORIAL","Activitat institucional","Reunió","2","1.00","818460009","Ajuntament de Rubí"
"2022/06/20","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Lectura declaració institucional persones refugiades",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/06/27","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Recepció a les entitats de la Festa Major22",,,,"ATENEU MUNICIPAL [AC-05]","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/06/28","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Seguici i pregó de la Festa Major de Rubí 2022",,,,"CASA CONSISTORIAL [AD-01]","Activitat institucional","Acte","13","1.00","818460009","Ajuntament de Rubí"
"2022/06/29","ANA MARIA MARTINEZ MARTINEZ","ALCALDESSA","Trobada de Peres, Petres, Paules i Paus",,,,"CASA CONSISTORIAL","Activitat institucional","Acte","5","0.50","818460009","Ajuntament de Rubí"
