ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2012","2012/07/31","G60593944","APA 1993 CP 25 DE SETEMBRE  DE RUBI","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","226.24","226.24","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G60867025","AGRUPACIO RUBINENCA D'ESCACS","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA PARCIALMENTE","500.00","400.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","Q5855634A","ESCOLA MONTESSORI","AJUTS 2012 MANTENIMENT CORRECTIU DELS CENTRES D'EDUCACIÓ INFANTIL I PRIMÀRIA","Educació","CONCESSIÓ VALIDADA O APROVADA","3179.65","3179.65","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G59549956","CLUB PETANCA EL VALLES","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA","3540.00","400.00","818460009","Ajuntament de Rubí"
"2012","2012/07/19","G65321739","ASSOCIACIO ESPORTIVA ESCOLAR REGINA CARMELI DE RUBI","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA PARCIALMENTE","5000.00","4500.00","818460009","Ajuntament de Rubí"
"2012","2012/07/03","G61313516","FEDERACIO D'ASSOCIACIONS DE COMERCIANTS DE RUBI","ASSOCIACIONS DE COMERCIANTS PER A PROJECTES D'ACTIVITATS RELACIONATS AMB LA PROMOCIÓ I DINAMITZACIÓ DE COMERÇ LOCAL","Comerç i Indústria","JUSTIFICADA","25000.00","25000.00","818460009","Ajuntament de Rubí"
"2012","2012/11/27","G63505960","APA DEL COLEGIO PUBLICO MOSEN CINTO VERDAGUER","BONIFICACIONS PER GERMANS MATRICULATS, FAMILIES NOMBROSES I MONOPARENTALS","Educació","CONCESSIÓ VALIDADA O APROVADA","216.00","216.00","818460009","Ajuntament de Rubí"
"2012","2012/05/22","G60571668","UNIO ATLETICA RUBI","MANTENIMENT PISTES ATLETISME CAN ROSES","Esports","JUSTIFICADA PARCIALMENTE","81000.00","81000.00","818460009","Ajuntament de Rubí"
"2012","2012/07/31","G63860944","AMPA ESCOLA CAN ALZAMORA","PREMIS PARTICIPACIÓ JOCS ESPORTIUS ESCOLARS DE RUBÍ 2011-2012","Esports","PAGADA","145.30","145.30","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5856371I","ESCOLA SCHOLA","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","12936.00","979.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","G60480985","HERMANDAD ROCIERA ANDALUZA DE RUBI","PROJECTES D'ACTIVITAT DE LES ENTITATS CULTURALS","Cultura","JUSTIFICADA","3610.00","800.00","818460009","Ajuntament de Rubí"
"2012","2012/07/09","Q5855639J","ESCOLA JOAN MARAGALL","AJUTS A LES ESCOLES I IES PÚBLICS PER A LA REALITZACIÓ D'ACTIVITATS O PROJECTES PEDAGÒGICS","Educació","CONCESSIÓ VALIDADA O APROVADA","1170.97","1053.00","818460009","Ajuntament de Rubí"
"2012","2012/07/19","V58070103","CENTRE EXCURSIONISTA DE RUBI","ACTIVITATS ESPORTIVES PER A ASSOCIACIONS I/O CLUBS ESPORTIUS, TEMPORADA 2011-2012","Esports","JUSTIFICADA PARCIALMENTE","1850.00","1500.00","818460009","Ajuntament de Rubí"
"2012","2012/06/14","G59511048","ASOC DE VECINOS LAS TORRES RUBI 2000","PROJECTES D'ACTIVITAT DE LES ASSOCIACIONS DE VEÏNS","Infrastructures","CONCESSIÓ VALIDADA O APROVADA","5000.00","2350.00","818460009","Ajuntament de Rubí"
"2012","2012/03/27","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","DINAMITZACIÓ DEL FUTBOL SALA A RUBÍ","Esports","JUSTIFICADA PARCIALMENTE","13500.00","13500.00","818460009","Ajuntament de Rubí"
