"REGISTRE","ESTAT","DATA_REGISTRE","DATA_BAIXA","TIPUS_IDENTIFICACIO","ESPECIE","SEXE","MIDA",DATA_NAIXEMENT,"RACA","PERILLOS","GOS_ASSITENCIA","CODI_ENS","NOM_ENS"
"R000305352","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2003/10/25 00:00:00.000000000","podenc andalús","No","No","818460009","Ajuntament de Rubí"
"R000305301","Vigent","2013-12-13",,"XIP","Fura","Mascle",,,,"No","No","818460009","Ajuntament de Rubí"
"R000305308","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2004/05/24 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305300","Vigent","2013-12-13",,"XIP","Fura","Mascle",,,,"No","No","818460009","Ajuntament de Rubí"
"R000305307","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2011/08/01 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305295","Vigent","2013-12-13",,"XIP","Gos","Femella","Petit","2013/04/21 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305292","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2009/03/07 00:00:00.000000000","retriever del Labrador","No","No","818460009","Ajuntament de Rubí"
"R000305291","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2012/11/19 00:00:00.000000000","retriever del Labrador","No","No","818460009","Ajuntament de Rubí"
"R000305287","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2012/06/12 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305264","Vigent","2013-12-13",,"XIP","Fura","Mascle",,"2011/08/01 00:00:00.000000000",,"No","No","818460009","Ajuntament de Rubí"
"R000305263","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2007/06/01 00:00:00.000000000","indefinit","No","No","818460009","Ajuntament de Rubí"
"R000305262","Vigent","2013-12-13",,"XIP","Gos","Femella","Mitjà","2013/03/23 00:00:00.000000000","perdiguer de Burgos","No","No","818460009","Ajuntament de Rubí"
"R000305261","Vigent","2013-12-13",,"XIP","Gat","Femella","Mitjà","2013/06/26 00:00:00.000000000","europeu de pèl curt","No","No","818460009","Ajuntament de Rubí"
