ANY,TRIMESTRE,"ANY_TRIMESTRE","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM,"CODI_ENS","NOM_ENS"
"2017","3","2017-Q3","Districte 04","Secció 16","Districte 04 / Secció 16","17699.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 18","Districte 04 / Secció 18","12821.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 19","Districte 04 / Secció 19","12162.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 20","Districte 04 / Secció 20","10988.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 21","Districte 04 / Secció 21","43496.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 22","Districte 04 / Secció 22","19119.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 01","Secció 4","Districte 01 / Secció 4","25615.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 02","Secció 4","Districte 02 / Secció 4","10489.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 02","Secció 5","Districte 02 / Secció 5","15130.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 02","Secció 6","Districte 02 / Secció 6","22023.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 03","Secció 9","Districte 03 / Secció 9","35266.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 23","Districte 04 / Secció 23","12401.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 24","Districte 04 / Secció 24","10956.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 25","Districte 04 / Secció 25","8942.00","818460009","Ajuntament de Rubí"
"2017","3","2017-Q3","Districte 04","Secció 26","Districte 04 / Secció 26","21072.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte Desconegut","Secció Desconeguda","Districte/Secció Desconegut","349586.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 01","Secció 1","Districte 01 / Secció 1","16604.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 01","Secció 2","Districte 01 / Secció 2","16106.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 01","Secció 3","Districte 01 / Secció 3","37748.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 02","Secció 1","Districte 02 / Secció 1","20090.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 02","Secció 3","Districte 02 / Secció 3","24376.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 1","Districte 03 / Secció 1","11670.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 3","Districte 03 / Secció 3","18578.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 4","Districte 03 / Secció 4","17150.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 5","Districte 03 / Secció 5","18311.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 6","Districte 03 / Secció 6","17043.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 7","Districte 03 / Secció 7","17638.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 03","Secció 8","Districte 03 / Secció 8","9859.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 1","Districte 04 / Secció 1","15588.00","818460009","Ajuntament de Rubí"
"2017","4","2017-Q4","Districte 04","Secció 2","Districte 04 / Secció 2","15344.00","818460009","Ajuntament de Rubí"
