ANY,"ANY_TRIMESTRE",TRIMESTRE,"ANY_MES",MES,"MES_NOM","DISTRICTE","SECCIO","DISTRICTE_SECCIO",CONSUM_KWH,"CODI_ENS","NOM_ENS"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 03","Secció 8","Districte 03 / Secció 8","12218.85","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 1","Districte 04 / Secció 1","102942.85","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 2","Districte 04 / Secció 2","118560.11","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 3","Districte 04 / Secció 3","81182.43","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 4","Districte 04 / Secció 4","9533.13","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 5","Districte 04 / Secció 5","137026.06","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 6","Districte 04 / Secció 6","98398.59","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 7","Districte 04 / Secció 7","160018.56","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 8","Districte 04 / Secció 8","87592.40","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 9","Districte 04 / Secció 9","87157.40","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 10","Districte 04 / Secció 10","186289.80","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 11","Districte 04 / Secció 11","162478.02","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 12","Districte 04 / Secció 12","129313.06","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 13","Districte 04 / Secció 13","165901.43","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 14","Districte 04 / Secció 14","122809.42","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 15","Districte 04 / Secció 15","114827.02","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 16","Districte 04 / Secció 16","126567.29","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 18","Districte 04 / Secció 18","135909.09","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 19","Districte 04 / Secció 19","105176.89","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 20","Districte 04 / Secció 20","112262.15","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 21","Districte 04 / Secció 21","159391.57","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 04","Secció 22","Districte 04 / Secció 22","177217.73","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 01","Secció 4","Districte 01 / Secció 4","4110.21","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 02","Secció 4","Districte 02 / Secció 4","119775.90","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 02","Secció 5","Districte 02 / Secció 5","34129.72","818460009","Ajuntament de Rubí"
"2018","2018-Q2","2","2018-04","4","Abril","Districte 02","Secció 6","Districte 02 / Secció 6","2092.77","818460009","Ajuntament de Rubí"
