ID_APLICACIO,"APLICACIO","DESC_APLICACIO",EXERCICI,"ORGANIC","ALIAS_PROGRAMA","ECONOMIC",ORG_COD_AREA_ORGANIC,"ORG_AREA_ORGANIC","ORG_COD_ORGANIC","ORG_ORGANIC","ECO_COD_CAPITOL","ECO_CAPITOL","ECO_COD_ARTICLE","ECO_ARTICLE","ECO_COD_CONCEPTE","ECO_CONCEPTE","ECO_COD_SUB_CONCEPTE","ECO_SUB_CONCEPTE",PREVISIONS_INICIALS,PREVISIONS_DEFINITIVES,MODIFICACIO_PREVISIONS,AUGMENT_PREVISIONS,DISMINUCIO_PREVISIONS,DRETS_RECONEGUTS_TOTALS,DRETS_RECONEGUTS_NETS,DRETS_ANULATS,RECAUDACIO_LIQUIDA,DEVOLUCIONS_INGRES,PERCENTATGE_EXECUCIO,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"3925734991","2015-3262-34206","Preu públic tallers d'art","2015","3262","111","34206","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","34","PREUS PÚBLICS.","342","SERVEIS EDUCATIUS.","34206","CURSOS FORMACIÓ SERVEI DE LA DONA","41938.80","41938.80","0.00","0.00","0.00","38211.06","38024.06","187.00","32676.03","0.00","90.7","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"581660578","2015-3262-45030","Gencat Escola d'Art","2015","3262","111","45030","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45030","TRANS CTES EN CUMPL DE CONV ELS SEUS AMB C.A EN MAT D'EDUCAC","0.00","0.00","0.00","0.00","0.00","109436.64","109436.64","0.00","109436.64","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"823698890","2015-3262-49701","Subvenció alumnes EDRA Erasmus","2015","3262","111","49701","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","49","DE L'EXTERIOR.","497","ALTRES TRANSFERÈNCIES DE LA UNIÓ EUROPEA.","49701","ALTRES TRANSFERÈNCIES DE LA UNIÓ EUROPEA.","0.00","2550.00","2550.00","2550.00","0.00","2040.00","2040.00","0.00","2040.00","0.00","80","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2709822679","2015-3263-34204","Rebuts escola de música","2015","3263","111","34204","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","34","PREUS PÚBLICS.","342","SERVEIS EDUCATIUS.","34204","REBUTS ESCOLA DE MÚSICA","325840.49","325840.49","0.00","0.00","0.00","329417.61","328322.23","1095.38","290174.47","402.33","100.8","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2229036054","2015-3263-45030","Conveni subvencional sosteniment de l'Escola Música 2015","2015","3263","111","45030","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45030","TRANS CTES EN CUMPL DE CONV ELS SEUS AMB C.A EN MAT D'EDUCAC","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1741895099","2015-3263-46126","DIBA - Ajuts per a escoles municipals de música i arts","2015","3263","111","46126","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46126","DIBA - AJUTS PER A ESCOLES MUNICIPALS DE MÚSICA I ENSENYAMEN","11000.00","11000.00","0.00","0.00","0.00","20912.00","20912.00","0.00","20912.00","0.00","190.1","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1243167906","2015-3321-33909","Lloguer Biblioteca","2015","3321","111","33909","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33909","LLOGUER BIBLIOTECA","750.00","750.00","0.00","0.00","0.00","477.00","477.00","0.00","79.50","0.00","63.6","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"1472399134","2015-3330-33908","LLoguers de l'auditori El Castell","2015","3330","111","33908","0","-","-","-","3","TAXES, PREUS PÚBLICS I ALTRES INGRESSOS.","33","TAXES PER UTILIZAC PRIVAT O EL APROVECH ESP DEL DOM PÚB LOC","339","ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DEL DOMINI PÚBLIC.","33908","LLOGUERS DE L'AUDITORI","3000.00","3000.00","0.00","0.00","0.00","8600.00","8600.00","0.00","8600.00","0.00","286.7","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"157007207","2015-3330-45080","GENCAT - Ajunt conservació pintures església de Sant Muç","2015","3330","111","45080","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","45","DE COMUNITATS AUTÒNOMES.","450","DE L'ADMINISTRACIÓ GENERAL DE LES COMUNITATS AUTÒNOMES.","45080","SUBV CORRENTS DE LA ADMÓN GENERAL DE LA C.A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
"2397016547","2015-3330-46131","DIBA- Ajuts Xarxa museu i patrimoni cultural","2015","3330","111","46131","0","-","-","-","4","TRANSFERÈNCIA CORRENTS.","46","D'ENTITATS LOCALS.","461","DE DIPUTACIONS, CONSELLS O CABILDOS.","46131","DIBA-AJUTS AL PROGRAMA DE SUPORT SERVE. I ACTIV. XARXA MUSEU","1500.00","1500.00","0.00","0.00","0.00","3000.00","3000.00","0.00","3000.00","0.00","200","2024/09/04 02:37:57.984","818460009","Ajuntament de Rubí"
