DATA_INICI_PREVISTA,DATA_INICI_REAL,"CODI","NOM",PRESSUPOST,CODI_ESTAT,"ESTAT",EE_SCP,EE_STF,es_mocion,es_plan,activo,"nombre_organico",id,"CODI_ENS","NOM_ENS"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U091- SERVEI DE PROGRAMES SECTORIALS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U017 - ÀREA DE PERSONAL","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U050 - SERVEI DE MOBILITAT I ACCESSIBILITAT","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U078 - SERVEI DE RELACIONS CIUTADANES I PROXIMITAT","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U100 - SERVEI DE MANTENIMENT D'URBANITZACIONS","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U001 - ORGANS DE GOVERN","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U036 - SERVEI DE L'INFÀNCIA I EDUCACIÓ","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U063 - OFICINA D'INFORMACIÓ I ORIENTACIÓ","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U087 - GABINET D'ESTUDIS I ESTADÍSTICA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U015 - OFICINA DE SERVEI A L'EMPRESA","1262","818460009","Ajuntament de Rubí"
"2019/10/07 00:00:00.000000000","2019/10/07 00:00:00.000000000","00.04.04.02","Supervisió dels projectes de les societats","0.0","0","Assolit","100.0","0.0","0","0","1","U047 - UNITAT DE PARCS I JARDINS","1262","818460009","Ajuntament de Rubí"
