"EXPEDIENT_SESSIO","DATA_SESSIO","HORA_INICI_SESSIO","HORA_FI_SESSIO","EXPEDIENT_PROPOSTA","PROCEDIMENT","DESCRIPCIO","DATA_SIGNATURA","RESULTAT_VOTACIO","PARTIT_POLITIC","ASSISTENT_CARREG","ASSISTENT","VOT","PRESENTA_AUP_AMUNT","PRESENTA_CS","PRESENTA_ECP_RUBI_ECG","PRESENTA_ERC_CM","PRESENTA_PSC_CP","PRESENTA_VR","PRESENTA_PP","PRESENTA_VOX","CODI_ENS","NOM_ENS","DATA_HORA_DADES",ID
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","C's",,"MARTIN MARTIN,ROBERTO","SI","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6144"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","C's",,"LOPEZ MORANO,FRANCISCO JAVIER","SI","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6145"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","C's",,"SANCHEZ REINA,YASMINA","SI","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6146"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","VR",,"GARCIA BEREA,ANTONIO","SI","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6147"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","AUP-AMUNT",,"CAÑIZAR BEL,BELEN","SI","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6148"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","ECP",,"GARCIA MORENO,ANNIA","NO","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6149"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","ECP",,"MEDRANO MUÑOZ,ANDRES","NO","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6150"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","53/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal Veïns per Rubí (VR) per impulsar noves ajudes municipals per al comerç local","20/11/2020","REBUTJADA ABSOLUTA","ECP",,"NAVARRO CANO,PABLO","NO","0","0","0","0","0","1","1","1","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6151"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","55/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una aturada dels desnonaments mentre duri la pandèmia","20/11/2020","APROVADA UNANIMITAT","PSC-CP",,"MARTINEZ MARTINEZ,ANA MARIA","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6152"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","55/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una aturada dels desnonaments mentre duri la pandèmia","20/11/2020","APROVADA UNANIMITAT","PSC-CP",,"RODRIGUEZ CANTON,MOISES","SI","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6153"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","PSC-CP",,"FERRER POLO,YOLANDA","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6154"
"14/2020/PLE","26/11/2020","17:00 h","19:54 h","56/2020/MOC","MOC - Mocions al Ple","Moció del grup municipal d’Esquerra Republicana – Acord Municipal per reclamar una millora urgent de la gestió de les prestacions i subsidis d’atur i el cobrament dels ERTO","20/11/2020","REBUTJADA ABSOLUTA","PSC-CP",,"GARCIA CORREAS,VICTOR","NO","0","0","0","1","0","0","0","0","818460009","Ajuntament de Rubí","19/08/2026 02:47:01","6155"
