ID,"ACTIVITAT","NOM_COMERCIAL","EMPLAÇAMENT","ZONA",LATITUD,LONGITUD,"WEB","CODI_ENS","NOM_ENS"
"1876","COMERÇ AL DETALL DE PRODUCTES DE REGAL","NOU RACO ROSA","PG FRANCESC MACIA,   74","Districte Administratiu 4 - CENTRE","41.491713015465955","2.031662269078965",,"818460009","Ajuntament de Rubí"
"2252","fabricació i muntatge de maquinària","ROMACO","AV GAUDI,  152-160","Districte Administratiu 1 - SUD-OEST","41.46958075576802","2.010331777443576",,"818460009","Ajuntament de Rubí"
"2747","TALLER DE MUNTATGE DE MAQUINÀRIA INDUSTRIAL",,"AV GAUDI,  144-150","Districte Administratiu 1 - SUD-OEST","41.46967092112016","2.0106238314999563",,"818460009","Ajuntament de Rubí"
"2745","OPERADOR INFRAESTRUCTURES PER TELEFONIA MÒBIL",,"C PAGESIA,    1-33","Districte Administratiu 5 - NORD","41.508605590788754","2.038319796700707",,"818460009","Ajuntament de Rubí"
"3400","OPERADOR DE TRANSPORTS",,"C PAGESIA,    1-33","Districte Administratiu 5 - NORD","41.508605590788754","2.038319796700707",,"818460009","Ajuntament de Rubí"
"2663","VENDA A L'ENGRÒS DE MAQUINÀRIA INDUSTRIAL","WEH","C PUIG I GAIRALT,   10 NV 03","Districte Administratiu 1 - SUD-OEST","41.464226118910204","2.0109476948042113",,"818460009","Ajuntament de Rubí"
"1487","FABRICACIO DE REVESTIMENTS PROJECTATS AMB SURO","KLIU SOLUTIONS","C DOMENECH I MONTANER,    3 NV 09","Districte Administratiu 1 - SUD-OEST","41.464919560120165","2.0111268822076127",,"818460009","Ajuntament de Rubí"
"2561","ACTIVITATS AUXILIARS I COMPLEMENTARIES DEL TRANSPORT","TRANSPORTES ANGEL VELASCO","C DOMENECH I MONTANER,    7 NV 11","Districte Administratiu 1 - SUD-OEST","41.46489508453172","2.0108365035427322",,"818460009","Ajuntament de Rubí"
"2642","FABRICACIÓ DE MAQUINÀRIA I EINES","VIRUTEX","AV LLANA,   59-61","Districte Administratiu 2 - NORD-OEST","41.499369917827515","2.030126091370537","www.virutex.es","818460009","Ajuntament de Rubí"
"3171","MAGATZEM DE PALETS DE FUSTA",,"C RAVEL,    1","Districte Administratiu 1 - SUD-OEST","41.4755963101216","2.0194497821498123",,"818460009","Ajuntament de Rubí"
"289","OFICINA BANCÀRIA","BANC SABADELL ATLANTICO","C LLOBATERAS,  103","Districte Administratiu 6 - EST","41.48899405971971","2.0352750447477392",,"818460009","Ajuntament de Rubí"
"2243","FABRICACIO, IMPRESSIO I CONFECCIO D'EMBALATGES DE PLASTIC (CANVI NO SUBSTANCIAL)","ROCHE HERMANOS","AV LLANA,  129","Districte Administratiu 2 - NORD-OEST","41.511216468322814","2.0331686130886184",,"818460009","Ajuntament de Rubí"
"2244","LA20170007 - CANVI NO SUBSTANCIAL","ROCHE HERMANOS","AV LLANA,  129","Districte Administratiu 2 - NORD-OEST","41.511216468322814","2.0331686130886184",,"818460009","Ajuntament de Rubí"
"638","BAR","CERVECERIA SANTA FE","C PLATI,   13 ST 01","Districte Administratiu 1 - SUD-OEST","41.487199700893086","2.023554710873728",,"818460009","Ajuntament de Rubí"
"1267","LLOGUER DE TRASTERS PER L'EMMAGATZEMATGE D'ARTICLES DOMÈSTICS.","GRACER S.L.","AV FERRER I DOMINGO,   26-28","Districte Administratiu 1 - SUD-OEST","41.491174785125025","2.0228259305283967",,"818460009","Ajuntament de Rubí"
"1473","BAR RESTAURANT","KEBAB RESTAURANTE SANT JORDI PARK","AV FERRER I DOMINGO,   12-14 LOC 01","Districte Administratiu 1 - SUD-OEST","41.49092242079184","2.0220248637315175",,"818460009","Ajuntament de Rubí"
"2375","PERRUQUERIA","SITA ZOROA","AV FERRER I DOMINGO,   20-22 LOC 01","Districte Administratiu 1 - SUD-OEST","41.491090353392785","2.022557971443143",,"818460009","Ajuntament de Rubí"
"2478","MANTENIMENT I REPARACIÓ DE VEHICLES A MOTOR","TALLERES RUBI NORTE","AV FERRER I DOMINGO,   20-22 LOC 02","Districte Administratiu 1 - SUD-OEST","41.491090353392785","2.022557971443143",,"818460009","Ajuntament de Rubí"
"2656","ESTACIÓ BASE DE TELEFONIA MÒBIL","VODAFONE","C CAN POLIT","Districte Administratiu 2 - NORD-OEST",,,,"818460009","Ajuntament de Rubí"
"2685","ANTENA DE TELEFONIA MOBIL","YOIGO","C CAN POLIT","Districte Administratiu 2 - NORD-OEST",,,,"818460009","Ajuntament de Rubí"
"705","CLÍNICA DENTAL","CLINICA MARVE","C JOAN FIVELLER,   26 LOC 16","Districte Administratiu 6 - EST","41.491962327651876","2.0359604732244456",,"818460009","Ajuntament de Rubí"
"1524","BAR RESTAURANT","LA CAÑITA","C JOAN FIVELLER,   26 PB 01","Districte Administratiu 6 - EST","41.491962327651876","2.0359604732244456",,"818460009","Ajuntament de Rubí"
"134","APARCAMENT PRIVAT DE VEHICLES","APARCAMENT PRIVAT","C JOAN FIVELLER,   28","Districte Administratiu 6 - EST","41.49188053999304","2.0363146971300163",,"818460009","Ajuntament de Rubí"
"137","APARCAMENT PRIVAT DE VEHICLES","APARCAMENT PRIVAT","C PINTOR FORTUNY,   29","Districte Administratiu 6 - EST","41.49178248203756","2.0355897707882997",,"818460009","Ajuntament de Rubí"
"1339","TALLER DE REPARACIÓ DE VEHICLES AMB PLANXA I PINTURA","HOBBY CARS","C CICLISME,   37 NV 11","Districte Administratiu 5 - NORD","41.501985422514586","2.0398267602889946",,"818460009","Ajuntament de Rubí"
"3046","DESPATX PROFESSIONAL",,"C AMPOSTA,    7-9","Districte Administratiu 2 - NORD-OEST","41.51797692795177","2.000388469985523",,"818460009","Ajuntament de Rubí"
"293","OFICINA BANCARIA","BANKCAIXA","PG FRANCESC MACIA,   73","Districte Administratiu 4 - CENTRE","41.49211109056697","2.031526240307342",,"818460009","Ajuntament de Rubí"
"2575","LLAR D'INFANTS","TREN O'NEILL","C BARTRINA,   13-15","Districte Administratiu 6 - EST","41.48854663766211","2.03708904888734",,"818460009","Ajuntament de Rubí"
"1171","TALLER DE PLANXISTERIA INDUSTRIAL","FORMAD, SA","C INDUSTRIA,    3","Districte Administratiu 3 - SUD","41.47921584326276","2.0330459696550602",,"818460009","Ajuntament de Rubí"
"1957","FABRICACIÓ DE PASTES ALIMENTÀRIES (CANVI SUBSTANCIAL)","PASTES EL PAVO","C BACH,   26-36","Districte Administratiu 1 - SUD-OEST","41.47034314098446","2.02611315834907",,"818460009","Ajuntament de Rubí"
"1305","HABITATGE TURÍSTIC","HABITATGE TURÍSTIC","C MADRID,   73-75 PB 01","Districte Administratiu 5 - NORD","41.498199147694805","2.038972992092865",,"818460009","Ajuntament de Rubí"
"3126","APARCAMENT PRIVAT DE VEHICLES",,"C MADRID,   73-75","Districte Administratiu 5 - NORD","41.498199147694805","2.038972992092865",,"818460009","Ajuntament de Rubí"
"2962","APARCAMENT PRIVAT DE VEHICLES",,"C JOAN MARAGALL,   12","Districte Administratiu 6 - EST","41.48763402204191","2.0371482839692625",,"818460009","Ajuntament de Rubí"
"1035","ESCOLA DE BALL","ESCOLA DE BALL 8 TEMPS","C SANTA FE,    7","Districte Administratiu 5 - NORD","41.49616663799839","2.0356098024277225",,"818460009","Ajuntament de Rubí"
"1301","FABRICACIÓ DE PECES METÀL·LIQUES","H&H ALUMINI","CTRA RUBI A ULLASTRELL,  299","Districte Administratiu 2 - NORD-OEST","41.52691744728155","1.9939709005445942",,"818460009","Ajuntament de Rubí"
"3074","APARCAMENT PRIVAT DE VEHICLES",,"C LLOBATERAS,   22-24","Districte Administratiu 4 - CENTRE","41.48911311345985","2.031103476979161",,"818460009","Ajuntament de Rubí"
"3157","APARCAMENT PRIVAT DE VEHICLES",,"C PLATI,   15 ST 02","Districte Administratiu 1 - SUD-OEST","41.4871152841574","2.0236977115918164",,"818460009","Ajuntament de Rubí"
"243","REPARACIÓ I MANTENIMENT DE VEHICLES A MOTOR SENSE XAPA NI PINTURA","AUTO NEUMATICOS RUBI","C ALT,    5 NV 02","Districte Administratiu 3 - SUD","41.480488635386635","2.0321252649428603",,"818460009","Ajuntament de Rubí"
"1371","INDÚSTRIA D'ARTS GRÀFIQUES","IMPRINTER","C AMPLE,   12-14","Districte Administratiu 3 - SUD","41.4807496075812","2.032095227631909",,"818460009","Ajuntament de Rubí"
"3300","APARCAMENT PRIVAT DE VEHICLES",,"C SANT GAIETA,   30-32","Districte Administratiu 4 - CENTRE","41.49380968070435","2.032634211602606",,"818460009","Ajuntament de Rubí"
"2464","TALLER MECÀNIC D'AUTOMOBILS","TALLER RAFANOU","CTRA TERRASSA,  110","Districte Administratiu 5 - NORD","41.50252714684958","2.0337074243456423",,"818460009","Ajuntament de Rubí"
"3436","VENDA AL DETALL DE TELEFONIA",,"C CARRASCO I FORMIGUERA,   36","Districte Administratiu 5 - NORD","41.49626837418111","2.0328457686156227",,"818460009","Ajuntament de Rubí"
